record_id,sector,employees,month,revenue_usd,opex_usd,accounts_receivable_days,inventory_days,loan_balance_usd,owner_injections_usd,cashflow_stress_next_month
R00001,Manufacturing,93,2024-08,71329.95,74665.07,28,46,31244.94,6505.34,0
R00002,Hospitality,96,2025-08,94136.2,93902.74,62,33,62612.22,0,0
R00003,Retail,45,2024-06,45418.88,40867.88,31,18,44559.65,5861.23,0
R00004,Retail,107,2024-04,79558.65,60416.72,31,48,58377.79,0,1
R00005,Healthcare,11,2024-06,11932.76,8338.71,41,34,64482.94,0,0
R00006,IT Services,18,2024-03,31539.46,23605.74,27,48,23524.89,8291.39,0
R00007,Retail,61,2024-02,59683.24,62993.33,34,37,23857.05,8314.64,0
R00008,Hospitality,119,2025-04,89116.46,67274.68,47,7,45272.6,0,0
R00009,Logistics,30,2025-08,18379.76,12490.03,20,34,0,0,1
R00010,Healthcare,21,2025-04,30252.83,31664.67,21,38,30285.67,0,0
R00011,Manufacturing,64,2024-02,52210.01,40645.94,51,18,39811.56,1302.44,0
R00012,Manufacturing,108,2025-01,79928.97,61698.28,33,22,46492.72,2038.94,0
R00013,Retail,69,2024-11,51169.61,37131.47,66,0,56376.84,3173.46,0
R00014,Hospitality,51,2024-04,50352.56,48257.48,35,12,49291.04,2388.87,0
R00015,Manufacturing,69,2024-04,73563.33,66807.56,45,41,36106.61,6376.22,0
R00016,Hospitality,73,2024-02,61764.74,45870.75,49,49,72629.13,7413.56,0
R00017,Manufacturing,110,2024-09,75196.93,73674.37,49,8,32485.82,768.43,0
R00018,IT Services,42,2025-04,33517.77,34921.2,39,29,9455.88,0,0
R00019,Logistics,63,2024-07,59261.26,60702.54,35,54,8503.49,2913.57,0
R00020,Hospitality,15,2025-02,4000,3122.75,42,38,3142.75,9615.47,0
R00021,Hospitality,28,2024-11,38633.86,29230.13,43,15,0,1745.21,0
R00022,Manufacturing,5,2024-01,13481.82,10896.57,55,26,57800.37,4230.7,0
R00023,Healthcare,68,2024-07,72082.11,57180.48,29,45,27034.67,0,0
R00024,Hospitality,20,2024-09,17202.21,13292.94,57,25,58057.0,0,0
R00025,IT Services,4,2024-02,4000,2710.99,11,14,42675.85,5189.56,0
R00026,IT Services,3,2024-07,4000,2500,60,38,63952.5,11029.27,0
R00027,Logistics,70,2025-07,63985.16,44006.56,33,16,4596.35,4134.38,1
R00028,Retail,106,2025-02,90428.51,62413.12,43,20,13956.56,0,0
R00029,Logistics,45,2025-02,59206.78,62614.08,39,11,39914.14,2499.63,0
R00030,Retail,94,2024-11,79042.13,63215.37,53,2,43934.63,4699.43,0
R00031,Healthcare,19,2024-03,17394.35,11550.33,18,53,61725.35,7588.72,0
R00032,Manufacturing,65,2025-07,40964.37,43178.92,42,39,58210.9,0,0
R00033,Manufacturing,34,2024-11,39474.56,36971.73,48,33,8206.4,10682.47,0
R00034,Manufacturing,81,2025-02,63776.83,44868.21,15,29,79065.92,6429.04,0
R00035,Manufacturing,99,2025-06,91312.03,68372.69,23,9,56619.49,0,0
R00036,Hospitality,91,2024-11,79027.82,53513.4,42,35,30668.46,0,0
R00037,Manufacturing,6,2025-03,15296.8,8966.79,51,0,47368.18,0,0
R00038,Logistics,41,2025-04,45195.23,40805.01,31,54,28838.3,6236.64,1
R00039,IT Services,30,2024-09,21866.54,14616.62,25,29,0,7455.62,0
R00040,Healthcare,108,2025-01,82984.46,49790.09,40,21,37679.82,0,0
R00041,IT Services,50,2024-09,58757.63,46294.79,47,19,3723.71,9027.94,0
R00042,Logistics,40,2024-08,31348.1,25694.77,27,28,53687.91,5125.46,0
R00043,Logistics,36,2025-03,37523.92,29717.68,33,33,0,7806.25,0
R00044,IT Services,56,2024-02,60950.44,60916.12,20,50,74265.43,569.17,0
R00045,Retail,113,2025-06,93806.51,64445.15,60,2,68168.32,0,0
R00046,Healthcare,35,2024-02,34814.93,23725.9,30,29,36616.31,828.0,0
