description,direction,category
electricity invoice,outflow,Utilities
power bill payment,outflow,Utilities
water utility charge,outflow,Utilities
CEB,outflow,Utilities
CWA,outflow,Utilities
gas cylinder refill,outflow,Utilities
premises rent,outflow,Rent
rental of shop,outflow,Rent
landlord payment,outflow,Rent
office lease,outflow,Rent
warehouse rent,outflow,Rent
staff salaries,outflow,Payroll
wages payment,outflow,Payroll
salary advance employee,outflow,Payroll
employee pay,outflow,Payroll
CSG NSF contribution,outflow,Payroll
PAYE,outflow,Payroll
end of year bonus,outflow,Payroll
supplier payment goods,outflow,Inventory & supplies
stock purchase,outflow,Inventory & supplies
merchandise order,outflow,Inventory & supplies
raw materials,outflow,Inventory & supplies
wholesale goods,outflow,Inventory & supplies
ingredients purchase,outflow,Inventory & supplies
packaging boxes,outflow,Inventory & supplies
customs clearance goods,outflow,Inventory & supplies
internet subscription,outflow,Telecom & internet
telephone bill,outflow,Telecom & internet
mobile data plan,outflow,Telecom & internet
fibre broadband,outflow,Telecom & internet
software licence,outflow,Software & subscriptions
SaaS subscription,outflow,Software & subscriptions
app monthly plan,outflow,Software & subscriptions
email hosting,outflow,Software & subscriptions
website hosting renewal,outflow,Software & subscriptions
facebook ads,outflow,Marketing
advertising campaign,outflow,Marketing
promotion flyers,outflow,Marketing
radio advert,outflow,Marketing
sponsored social media,outflow,Marketing
insurance premium,outflow,Insurance
policy renewal insurer,outflow,Insurance
motor insurance,outflow,Insurance
repair works,outflow,Repairs & maintenance
maintenance service,outflow,Repairs & maintenance
plumber,outflow,Repairs & maintenance
aircon servicing,outflow,Repairs & maintenance
technician visit,outflow,Repairs & maintenance
accounting fees,outflow,Professional fees
lawyer fees,outflow,Professional fees
consultant invoice,outflow,Professional fees
notary fees,outflow,Professional fees
fuel petrol,outflow,Transport & logistics
delivery charges,outflow,Transport & logistics
courier,outflow,Transport & logistics
transport hire lorry,outflow,Transport & logistics
bank charges,outflow,Bank fees
merchant fees,outflow,Bank fees
account maintenance fee,outflow,Bank fees
equipment purchase,outflow,Equipment
computer purchase,outflow,Equipment
shop fittings shelving,outflow,Equipment
machinery,outflow,Equipment
VAT return,outflow,Taxes (VAT)
value added tax payment,outflow,Taxes (VAT)
loan instalment,outflow,Loan repayment
loan repayment,outflow,Loan repayment
hire purchase repayment,outflow,Loan repayment
owner drawings,outflow,Owner drawings
personal withdrawal owner,outflow,Owner drawings
director dividend,outflow,Owner drawings
miscellaneous expense,outflow,Other expenses
cleaning contractor,outflow,Other expenses
stationery,outflow,Other expenses
security guard services,outflow,Other expenses
sales receipts,inflow,Sales
card settlement,inflow,Sales
cash deposit takings,inflow,Sales
invoice payment received,inflow,Sales
customer transfer,inflow,Sales
POS sales,inflow,Sales
e-commerce payout,inflow,Sales
capital injection owner,inflow,Owner contribution
shareholder loan,inflow,Owner contribution
owner funds introduced,inflow,Owner contribution
loan drawdown,inflow,Loan proceeds
bank loan received,inflow,Loan proceeds
credit facility disbursement,inflow,Loan proceeds
interest income,inflow,Other income
supplier refund,inflow,Other income
grant received,inflow,Other income
insurance claim payout,inflow,Other income
staff refreshments tea coffee,outflow,Other expenses
kitchen supplies for staff,outflow,Other expenses
pest control service,outflow,Repairs & maintenance
parking fees,outflow,Transport & logistics
toll and parking,outflow,Transport & logistics
carrier bags with logo,outflow,Inventory & supplies
shopping bags packaging,outflow,Inventory & supplies
design software plan,outflow,Software & subscriptions
airtime top-up,outflow,Telecom & internet
