business_key,archetype,sector,base_monthly_revenue,opening_cash,b2b_share,n_shocks,data_label
S0000,retail_shop,Retail,1049151.01,1249592.94,0.256,1,synthetic
S0001,retail_shop,Retail,1128438.58,1183396.66,0.319,3,synthetic
S0002,retail_shop,Retail,731124.4,480315.12,0.103,3,synthetic
S0003,retail_shop,Retail,858070.4,1256853.99,0.313,2,synthetic
S0004,retail_shop,Retail,1193695.99,1305266.69,0.194,2,synthetic
S0005,retail_shop,Retail,954244.48,300180.8,0.282,4,synthetic
S0006,retail_shop,Retail,1009294.3,293078.95,0.075,1,synthetic
S0007,retail_shop,Retail,957601.13,475023.63,0.216,3,synthetic
S0008,retail_shop,Retail,860018.38,603949.8,0.222,2,synthetic
S0009,retail_shop,Retail,610934.84,320314.01,0.071,6,synthetic
S0010,retail_shop,Retail,701246.82,1001229.4,0.103,3,synthetic
S0011,retail_shop,Retail,1181605.18,1255879.68,0.217,3,synthetic
S0012,retail_shop,Retail,603279.18,466303.92,0.327,2,synthetic
S0013,retail_shop,Retail,1222603.75,1742732.75,0.054,2,synthetic
S0014,retail_shop,Retail,1188493.46,1311624.07,0.247,3,synthetic
S0015,retail_shop,Retail,648391.73,522044.85,0.069,3,synthetic
S0016,retail_shop,Retail,1240412.81,1357009.86,0.224,3,synthetic
S0017,retail_shop,Retail,459062.03,386394.39,0.132,4,synthetic
S0018,retail_shop,Retail,705933.97,372742.55,0.349,3,synthetic
S0019,retail_shop,Retail,1284374.85,1813530.54,0.194,2,synthetic
S0020,retail_shop,Retail,1140329.59,1274613.2,0.084,8,synthetic
S0021,retail_shop,Retail,1029286.29,794590.87,0.26,4,synthetic
S0022,retail_shop,Retail,648693.11,242303.44,0.226,1,synthetic
S0023,retail_shop,Retail,819741.32,248663.17,0.168,2,synthetic
S0024,retail_shop,Retail,1061037.01,825406.02,0.051,3,synthetic
S0025,retail_shop,Retail,617568.48,928231.98,0.125,6,synthetic
S0026,retail_shop,Retail,980277.47,543660.3,0.296,3,synthetic
